KEY;FILE;TYPE;FR
CONS1_014363;380768-1;102;Anémomètre thermomètre HD2303.0 avec sonde  diamètre 100 AP472 S1L
CONS1_014356;380652-1;102;Anémomètre thermomètre HD2303.0 avec sonde diamètre 100 AP472 S1H
CONS1_014426;379499-1;102;Anémomètre thermomètre HD2303.0 avec sonde diamètre 16mm AP472 S4H
CONS1_014433;382069-1;102;Anémomètre thermomètre HD2303.0 avec sonde diamètre 16mm AP472 S4HT
CONS1_014440;379615-1;102;Anémomètre thermomètre HD2303.0 avec sonde diamètre 16mm AP472 S4L
CONS1_014468;377304-1;102;Anémomètre thermomètre HD2303.0 avec sonde diamètre 60 AP472 S2
CONS1_029567;344823-1;102;Anémomètre type A004
CONS1_098396;427441-1;102;Anèmomètre type TA300
CONS1_080346;356911-1;102;Anémomètre YK 2001TM
CONS1_031748;265124-1;102;Anémo-thermo-hygro électronique VTH
CONS1_031756;260750-1;102;Anémo-thermo-hygro électronique VTI
CONS1_092962;377592-1;102;Appareil à point de fusion SMP3
CONS1_094099;284957-1;102;Appareil de combustion TESTO 435
